2015-06-11 10:50:37,376 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:51:50,685 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:51:50,685 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:51:50,685 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:51:50,685 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:53:23,931 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:53:23,931 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:53:23,931 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:53:23,931 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:56:16,710 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:56:16,711 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:56:16,712 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:56:16,712 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:56:57,170 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:56:57,170 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:56:57,170 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:56:57,170 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:58:03,209 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:58:03,209 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:58:03,209 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:58:03,209 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:58:41,482 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:58:41,482 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:58:41,482 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:58:41,482 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:01:52,515 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:01:52,515 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:01:52,515 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:01:52,515 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:02:37,384 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:02:37,384 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:02:37,384 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:02:37,384 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:05:03,535 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:05:03,535 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:05:03,535 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:05:03,535 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:08:18,231 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:08:18,231 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:08:18,231 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:08:18,231 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:08:57,550 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:08:57,550 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:08:57,550 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:08:57,550 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:11:55,166 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:11:55,166 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:11:55,166 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:11:55,166 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:12:26,061 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:12:26,061 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:12:26,061 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:12:26,061 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:12:54,692 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:12:54,692 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:12:54,692 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:12:54,692 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:15:11,598 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:15:11,598 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 11:15:11,598 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:15:11,598 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 11:15:48,243 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 11:15:48,243 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
